alert_id,country,policy_name,policy_type,effective_date,risk_level,affected_stage,catl_impact_dimension,alert_summary_cn,management_implication_cn,source_url,sort_score
alert_iea_south_africa_2025_export_control_of_chrome_ore_in_south_africa_101,South Africa,Export control of chrome ore in South Africa,export_ban,2025-06-25,极高,ore_export,resource_security,South Africa 政策涉及出口限制，可能影响锂矿/关键矿产跨境供应弹性。,建议复核该国矿石或精矿出口假设，并评估替代资源与本地加工要求。,https://dirco.gov.za/statement-on-the-cabinet-meeting-of-25-june-2025/,0.91
alert_iea_people_s_republic_of_china_2025_announcement_no_10_of_2025_of_the_ministry_of_commerce_12,People's Republic of China,Announcement No. 10 of 2025 of the Ministry of Commerce,export_ban,2025,极高,project_approval,resource_security,People's Republic of China 政策涉及出口限制，可能影响锂矿/关键矿产跨境供应弹性。,建议复核该国矿石或精矿出口假设，并评估替代资源与本地加工要求。,https://www.mofcom.gov.cn/zfxxgk/gkml/art/2025/art_084ded0609404b2d81c746b31c9a03a6.html,0.89
alert_iea_people_s_republic_of_china_2025_export_controls_on_certain_medium_and_heavy_rare_earth_items_59,People's Republic of China,Export controls on certain medium and heavy rare earth items,export_ban,2025-04-04,极高,general_policy,resource_security,People's Republic of China 政策涉及出口限制，可能影响锂矿/关键矿产跨境供应弹性。,建议复核该国矿石或精矿出口假设，并评估替代资源与本地加工要求。,https://aqygzj.mofcom.gov.cn/flzc/gzjgfxwj/art/2025/art_f3a1432ba20248eca12ff7b91bc73fda.html,0.89
alert_iea_indonesia_2025_government_regulation_8_of_2025_62,Indonesia,Government Regulation 8 of 2025,export_ban,2025-02-17,极高,project_approval,resource_security,Indonesia 政策涉及出口限制，可能影响锂矿/关键矿产跨境供应弹性。,建议复核该国矿石或精矿出口假设，并评估替代资源与本地加工要求。,https://peraturan.bpk.go.id/Details/314625/pp-no-8-tahun-2025,0.89
alert_iea_united_states_2025_drc_us_strategic_partnership_agreement_112,United States,DRC-US Strategic Partnership Agreement,local_processing_requirement,2025-12-04,极高,concentrate_export,investment_access;project_schedule,United States 政策强化本地加工或增值要求，可能提高项目资本开支与建设复杂度。,建议将当地选矿、转化加工、能源、用水和审批能力纳入项目准入条件。,https://www.state.gov/strategic-partnership-agreement-between-the-government-of-the-united-states-of-america-and-the-government-of-the-democratic-republic-of-the-congo/,0.89
alert_iea_people_s_republic_of_china_2025_decision_to_implement_export_controls_on_tungsten_tellurium_bismuth_molybdenum_and_indium_related_items_58,People's Republic of China,"Decision to implement export controls on tungsten, tellurium, bismuth, molybdenum and indium related items",export_ban,2025-02-04,极高,general_policy,resource_security,People's Republic of China 政策涉及出口限制，可能影响锂矿/关键矿产跨境供应弹性。,建议复核该国矿石或精矿出口假设，并评估替代资源与本地加工要求。,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e623090907fc4e1092f0a4db72f57b95.html,0.89
alert_iea_india_2025_national_critical_mineral_mission_15,India,National Critical Mineral Mission,local_processing_requirement,2025-01-29,极高,processing,investment_access;project_schedule,India 政策强化本地加工或增值要求，可能提高项目资本开支与建设复杂度。,建议将当地选矿、转化加工、能源、用水和审批能力纳入项目准入条件。,https://mines.gov.in/admin/download/679a0e7c614611738149500.pdf,0.886
alert_iea_south_africa_2025_critical_minerals_and_metals_strategy_of_south_africa_108,South Africa,Critical Minerals and Metals Strategy of South Africa,local_processing_requirement,2025-05-01,极高,processing,investment_access;project_schedule,South Africa 政策强化本地加工或增值要求，可能提高项目资本开支与建设复杂度。,建议将当地选矿、转化加工、能源、用水和审批能力纳入项目准入条件。,https://www.gov.za/sites/default/files/gcis_document/202505/critical-minerals-and-metals-strategy-south-africa-2025.pdf,0.886
alert_iea_india_2026_customs_duty_exemptions_on_import_of_goods_for_processing_critical_minerals_182,India,Customs duty exemptions on import of goods for processing critical minerals  ,local_processing_requirement,2026-02-02,极高,processing,investment_access;project_schedule,India 政策强化本地加工或增值要求，可能提高项目资本开支与建设复杂度。,建议将当地选矿、转化加工、能源、用水和审批能力纳入项目准入条件。,https://www.indiabudget.gov.in/doc/Finance_Bill.pdf,0.886
alert_iea_european_union_2025_a_competitiveness_compass_for_the_eu_54,European Union,A Competitiveness Compass for the EU,local_processing_requirement,2025,极高,concentrate_export,investment_access;project_schedule,European Union 政策强化本地加工或增值要求，可能提高项目资本开支与建设复杂度。,建议将当地选矿、转化加工、能源、用水和审批能力纳入项目准入条件。,https://commission.europa.eu/topics/eu-competitiveness/competitiveness-compass_en,0.84
alert_iea_european_union_2025_updated_list_of_european_waste_with_battery_related_waste_codes_57,European Union,Updated List of European Waste with battery-related waste codes,export_ban,2025,极高,general_policy,resource_security,European Union 政策涉及出口限制，可能影响锂矿/关键矿产跨境供应弹性。,建议复核该国矿石或精矿出口假设，并评估替代资源与本地加工要求。,https://environment.ec.europa.eu/document/48cdc11b-facb-429a-80ad-4b37bce77ced_en,0.84
alert_iea_democratic_republic_of_the_congo_2025_drc_arecoms_decision_no_004_2025_cobalt_quota_system_102,Democratic Republic of the Congo,DRC ARECOMS Decision No. 004/2025 â Cobalt Quota System,export_ban,2025-09-20,极高,contract_structure,resource_security,Democratic Republic of the Congo 政策涉及出口限制，可能影响锂矿/关键矿产跨境供应弹性。,建议复核该国矿石或精矿出口假设，并评估替代资源与本地加工要求。,https://surveillance.cd/2025/09/22/cobalt-larecoms-durcit-le-ton-avec-une-prorogation-de-la-suspension-et-limposition-dune-politique-stricte-de-quotas/,0.84
alert_iea_canada_2025_ontario_recovery_of_minerals_regulation_36,Canada,(Ontario) Recovery of Minerals regulation,environmental_protection,2025,高,project_approval,project_schedule;policy_compliance,Canada 政策强化环保或许可要求，可能影响项目审批节奏和可开发资源范围。,建议跟踪环保许可、盐湖保护和社区约束对项目进度的影响。,https://news.ontario.ca/en/release/1005407/ontario-supporting-recovery-of-residual-metals-and-minerals,0.831
alert_iea_united_states_2025_us_thailand_memorandum_of_understanding_concerning_cooperation_to_diversify_global_critical_minerals_supply_chains_and_promote_investments_116,United States,US-Thailand Memorandum of Understanding Concerning Cooperation to Diversify Global Critical Minerals Supply Chains and Promote Investments,local_processing_requirement,2025-10-26,极高,processing,investment_access;project_schedule,United States 政策强化本地加工或增值要求，可能提高项目资本开支与建设复杂度。,建议将当地选矿、转化加工、能源、用水和审批能力纳入项目准入条件。,https://www.whitehouse.gov/briefings-statements/2025/10/memorandum-of-understanding-between-the-government-of-the-united-states-of-america-and-the-government-of-the-kingdom-of-thailand-concerning-cooperation-to-diversify-global-critical-minerals-supply-cha/,0.82
alert_iea_spain_2025_spain_mineral_raw_materials_action_plan_2025_2029_49,Spain,Spain Mineral Raw Materials Action Plan 2025-2029,environmental_protection,2025,高,environmental_permitting,project_schedule;policy_compliance,Spain 政策强化环保或许可要求，可能影响项目审批节奏和可开发资源范围。,建议跟踪环保许可、盐湖保护和社区约束对项目进度的影响。,https://www.miteco.gob.es/es/prensa/ultimas-noticias/2025/marzo/el-miteco-lanza-el-plan-de-accion-de-las-materias-primas-mineral.html,0.781
alert_iea_european_union_2025_strategic_projects_of_the_crma_53,European Union,Strategic Projects of the CRMA,environmental_protection,2025,高,refining,project_schedule;policy_compliance,European Union 政策强化环保或许可要求，可能影响项目审批节奏和可开发资源范围。,建议跟踪环保许可、盐湖保护和社区约束对项目进度的影响。,https://single-market-economy.ec.europa.eu/sectors/raw-materials/areas-specific-interest/critical-raw-materials/strategic-projects-under-crma/selected-projects_en,0.781
alert_iea_new_zealand_2025_minerals_strategy_for_new_zealand_to_2040_122,New Zealand,Minerals Strategy for New Zealand to 2040,local_processing_requirement,2025-01-31,高,processing,investment_access;project_schedule,New Zealand 政策强化本地加工或增值要求，可能提高项目资本开支与建设复杂度。,建议将当地选矿、转化加工、能源、用水和审批能力纳入项目准入条件。,https://www.mbie.govt.nz/assets/a-minerals-strategy-for-new-zealand-to-2040.pdf,0.77
alert_iea_zambia_2025_geological_and_minerals_development_act_2025_123,Zambia,Geological and Minerals Development Act 2025,local_processing_requirement,2025-04-08,高,processing,investment_access;project_schedule,Zambia 政策强化本地加工或增值要求，可能提高项目资本开支与建设复杂度。,建议将当地选矿、转化加工、能源、用水和审批能力纳入项目准入条件。,https://www.parliament.gov.zm/sites/default/files/documents/acts/Acts%20No.%202%20of%202025%2C%20The%20Geological%20Minerals%20Development.pdf,0.77
alert_iea_australia_2026_the_foreign_investment_review_framework_5,Australia,The Foreign Investment Review Framework,foreign_investment_review,2026-05-12,高,investment_access,investment_access,Australia 关键矿产政策可能影响资源投资、供应稳定或项目执行条件。,建议纳入资源国风险评分，并持续跟踪政策落地情况。,https://foreigninvestment.gov.au/investing-in-australia/foreign-investment-framework,0.75
alert_iea_india_2025_customs_duty_exemptions_on_import_of_critical_minerals_scrap_and_capital_goods_for_manufacturing_ev_batteries_181,India,Customs duty exemptions on import of critical minerals scrap and capital goods for manufacturing EV batteries,royalty_tax,2025-02-02,中高,financing,procurement_cost;valuation_impact,India 关键矿产政策可能影响资源投资、供应稳定或项目执行条件。,建议纳入资源国风险评分，并持续跟踪政策落地情况。,https://www.indiabudget.gov.in/doc/Finance_Bill.pdf,0.746
