rank,project,project_name,company,country,resource_type,status,annual_capacity,effective_capacity,base_aisc_wan,adjusted_aisc_wan,strategic_aisc_wan,strategy_base_aisc_wan,policy_risk_premium_wan,policy_risk_premium_pct,adjusted_minus_base_wan,strategic_minus_adjusted_wan,current_lce_price_wan,price_margin_wan,price_margin_pct,strategic_aisc_percentile,policy_premium_flag,capacity_score,cost_score,margin_score,policy_risk_score_norm,strategic_investment_score,score_percentile,investment_tier,recommended_action_v2,strategy_detail_v2,key_risk_note,name
1,Salar de Atacama,Salar de Atacama,SQM / Albemarle,Chile,brine,Operating,300000.0,300000.0,4.464,4.464,5.1604,4.464,0.6964,0.156,0.0,0.6964,18.2,13.0396,2.5269,0.197,True,100.0,80.303,100.0,0.88,79.91,0.9706,Tier 1｜优先锁定,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。 项目产能贡献较高，对资源配置具有战略意义…,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Salar de Atacama
2,Atacama,Atacama,SQM,Chile,brine,Operating,205000.0,205000.0,4.464,4.464,5.1604,4.464,0.6964,0.156,0.0,0.6964,18.2,13.0396,2.5269,0.197,True,68.3333,80.303,100.0,0.88,73.57,0.9412,Tier 1｜优先锁定,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。 项目处于样本库低成本区间。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Atacama
3,Greenbushes,Greenbushes,Talison Lithium,Australia,spodumene,Operating,150000.0,150000.0,5.904,5.904,6.4472,5.904,0.5432,0.092,0.0,0.5432,18.2,11.7528,1.8229,0.3333,True,50.0,66.6667,100.0,0.75,67.08,0.9118,Tier 1｜优先锁定,小股权 + 包销 + 能源改造,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Greenbushes
4,Hombre Muerto,Hombre Muerto,Various,Argentina,brine,Operating,0.0,0.0,4.5,4.5098,4.9608,4.5098,0.451,0.1,0.0098,0.451,18.2,13.2392,2.6687,0.0909,True,0.0,90.9091,100.0,0.65,67.07,0.7647,Tier 2｜重点跟踪,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。 项目处于样本库低成本区间。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Hombre Muerto
5,Olaroz,Olaroz,Arcadium Lithium,Argentina,brine,Operating,0.0,0.0,4.5,4.5098,4.9608,4.5098,0.451,0.1,0.0098,0.451,18.2,13.2392,2.6687,0.0909,True,0.0,90.9091,100.0,0.65,67.07,0.7941,Tier 2｜重点跟踪,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。 项目处于样本库低成本区间。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Olaroz
6,Sal de Vida,Sal de Vida,Arcadium Lithium,Argentina,brine,Developing,0.0,0.0,4.5,4.5098,4.9608,4.5098,0.451,0.1,0.0098,0.451,18.2,13.2392,2.6687,0.0909,True,0.0,90.9091,100.0,0.65,67.07,0.8235,Tier 2｜重点跟踪,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。 项目处于样本库低成本区间。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Sal de Vida
7,Pastos Grandes,Pastos Grandes,Various,Argentina,brine,Developing,0.0,0.0,4.5,4.5098,4.9608,4.5098,0.451,0.1,0.0098,0.451,18.2,13.2392,2.6687,0.0909,True,0.0,90.9091,100.0,0.65,67.07,0.8529,Tier 2｜重点跟踪,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。 项目处于样本库低成本区间。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Pastos Grandes
8,Kachi,Kachi,Lake Resources,Argentina,brine,Developing,0.0,0.0,4.5,4.5098,4.9608,4.5098,0.451,0.1,0.0098,0.451,18.2,13.2392,2.6687,0.0909,True,0.0,90.9091,100.0,0.65,67.07,0.8824,Tier 2｜重点跟踪,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。 项目处于样本库低成本区间。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Kachi
9,Goulamina,Goulamina,Leo Lithium / Ganfeng,Mali,spodumene,Developing,30000.0,30000.0,5.688,5.688,5.688,5.688,0.0,0.0,0.0,0.0,18.2,12.512,2.1997,0.2727,False,10.0,72.7273,100.0,0.4,66.45,0.7353,Tier 2｜重点跟踪,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 项目处于样本库低成本区间。,暂无显著额外风险，继续跟踪项目进展。,Goulamina
10,Cauchari-Olaroz,Cauchari-Olaroz,Lithium Argentina / Ganfeng,Argentina,brine,Operating,85000.0,85000.0,5.688,5.688,6.2568,5.688,0.5688,0.1,0.0,0.5688,18.2,11.9432,1.9088,0.303,True,28.3333,69.697,100.0,0.65,65.31,0.7059,Tier 2｜重点跟踪,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Cauchari-Olaroz
11,Grota do Cirilo,Grota do Cirilo,Sigma Lithium,Brazil,spodumene,Operating,36000.0,36000.0,5.976,5.976,6.5736,5.976,0.5976,0.1,0.0,0.5976,18.2,11.6264,1.7687,0.3636,True,12.0,63.6364,100.0,0.65,59.92,0.6765,Tier 3｜观察储备,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Grota do Cirilo
12,Pilgangoora,Pilgangoora,Pilbara Minerals,Australia,spodumene,Operating,76000.0,76000.0,6.192,6.192,6.7617,6.192,0.5697,0.092,0.0,0.5697,18.2,11.4383,1.6916,0.3939,True,25.3333,60.6061,100.0,0.81,59.13,0.6471,Tier 3｜观察储备,小股权 + 包销 + 能源改造,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Pilgangoora
13,Salar de Maricunga,Salar de Maricunga,Various,Chile,brine,Developing,0.0,0.0,4.5,4.5098,5.2134,4.5098,0.7035,0.156,0.0098,0.7035,18.2,12.9866,2.491,0.2424,True,0.0,75.7576,100.0,0.88,58.32,0.6176,Tier 3｜观察储备,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。 项目处于样本库低成本区间。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Salar de Maricunga
14,Wodgina,Wodgina,Mineral Resources / Albemarle,Australia,spodumene,Operating,47500.0,47500.0,6.552,6.552,7.1548,6.552,0.6028,0.092,0.0,0.6028,18.2,11.0452,1.5438,0.4697,True,15.8333,53.0303,100.0,0.75,55.48,0.5588,Tier 3｜观察储备,小股权 + 包销 + 能源改造,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Wodgina
15,Mt Marion,Mt Marion,Mineral Resources / Ganfeng,Australia,spodumene,Operating,47500.0,47500.0,6.552,6.552,7.1548,6.552,0.6028,0.092,0.0,0.6028,18.2,11.0452,1.5438,0.4697,True,15.8333,53.0303,100.0,0.75,55.48,0.5882,Tier 3｜观察储备,小股权 + 包销 + 能源改造,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Mt Marion
16,Ewoyaa,Ewoyaa,Atlantic Lithium,Ghana,spodumene,Developing,0.0,0.0,9.0,9.0394,9.2021,9.0394,0.1627,0.018,0.0394,0.1627,18.2,8.9979,0.9778,0.6667,True,0.0,33.3333,100.0,0.4,50.67,0.5294,Tier 3｜观察储备,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Ewoyaa
17,Silver Peak,Silver Peak,Albemarle,United States,brine,Operating,0.0,0.0,5.184,5.7853,6.9134,5.7853,1.1281,0.195,0.6013,1.1281,18.2,11.2866,1.6326,0.4242,True,0.0,57.5758,100.0,1.0,50.15,0.5,Tier 3｜观察储备,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Silver Peak
18,Kathleen Valley,Kathleen Valley,Liontown Resources,Australia,spodumene,Developing,25000.0,25000.0,8.064,8.064,8.8059,8.064,0.7419,0.092,0.0,0.7419,18.2,9.3941,1.0668,0.5758,True,8.3333,42.4242,100.0,0.78,49.82,0.4706,Tier 3｜观察储备,小股权 + 包销 + 能源改造,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Kathleen Valley
19,Rincon,Rincon,Rio Tinto,Argentina,brine,Developing,25000.0,25000.0,7.056,7.056,7.7616,7.056,0.7056,0.1,0.0,0.7056,18.2,10.4384,1.3449,0.5152,True,8.3333,48.4848,100.0,0.98,48.94,0.4412,Tier 3｜观察储备,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Rincon
20,Finniss,Finniss,Core Lithium,Australia,spodumene,Operating,0.0,0.0,8.0,8.0875,8.8316,8.0875,0.744,0.092,0.0875,0.744,18.2,9.3684,1.0608,0.6212,True,0.0,37.8788,100.0,0.75,47.01,0.3824,Tier 4｜暂缓推进,小股权 + 包销 + 能源改造,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Finniss
21,Mt Holland,Mt Holland,Covalent Lithium,Australia,spodumene,Developing,0.0,0.0,8.0,8.0875,8.8316,8.0875,0.744,0.092,0.0875,0.744,18.2,9.3684,1.0608,0.6212,True,0.0,37.8788,100.0,0.75,47.01,0.4118,Tier 3｜观察储备,小股权 + 包销 + 能源改造,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Mt Holland
22,Smackover Formation,Smackover Formation,Various,United States,brine,Exploration,0.0,0.0,6.0,6.6144,7.9043,6.6144,1.2898,0.195,0.6144,1.2898,18.2,10.2957,1.3026,0.5455,True,0.0,45.4545,100.0,1.0,45.91,0.3529,Tier 4｜暂缓推进,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Smackover Formation
23,Zinnwald,Zinnwald,Zinnwald Lithium,Germany,zinnwaldite,Developing,0.0,0.0,12.0,12.0525,12.0525,12.0525,0.0,0.0,0.0525,0.0,18.2,6.1475,0.5101,0.8939,False,0.0,10.6061,85.0,0.35,38.96,0.2941,Tier 4｜暂缓推进,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。,暂无显著额外风险，继续跟踪项目进展。,Zinnwald
24,Cinovec,Cinovec,European Metals,Czech Republic,zinnwaldite,Developing,0.0,0.0,12.0,12.0525,12.0525,12.0525,0.0,0.0,0.0525,0.0,18.2,6.1475,0.5101,0.8939,False,0.0,10.6061,85.0,0.35,38.96,0.3235,Tier 4｜暂缓推进,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。,暂无显著额外风险，继续跟踪项目进展。,Cinovec
25,Mina do Barroso,Mina do Barroso,Savannah Resources,Portugal,spodumene,Developing,0.0,0.0,10.0,10.0438,11.0481,10.0438,1.0044,0.1,0.0437,1.0044,18.2,7.1519,0.6473,0.8182,True,0.0,18.1818,85.0,0.6,37.86,0.2647,Tier 4｜暂缓推进,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Mina do Barroso
26,Whabouchi,Whabouchi,Nemaska Lithium,Canada,spodumene,Developing,0.0,0.0,9.5,9.5416,10.5339,9.5416,0.9923,0.104,0.0416,0.9923,18.2,7.6661,0.7278,0.7273,True,0.0,27.2727,85.0,0.86,37.15,0.1765,Tier 4｜暂缓推进,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Whabouchi
27,North American Lithium,North American Lithium,Sayona Mining / Piedmont,Canada,spodumene,Operating,0.0,0.0,9.5,9.5416,10.5339,9.5416,0.9923,0.104,0.0416,0.9923,18.2,7.6661,0.7278,0.7273,True,0.0,27.2727,85.0,0.86,37.15,0.2059,Tier 4｜暂缓推进,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,North American Lithium
28,James Bay,James Bay,Arcadium Lithium,Canada,spodumene,Developing,0.0,0.0,9.5,9.5416,10.5339,9.5416,0.9923,0.104,0.0416,0.9923,18.2,7.6661,0.7278,0.7273,True,0.0,27.2727,85.0,0.86,37.15,0.2353,Tier 4｜暂缓推进,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,James Bay
29,Bikita,Bikita,Sinomine,Zimbabwe,spodumene,Operating,52000.0,52000.0,7.272,8.6279,10.6468,8.6279,2.0189,0.234,1.3559,2.0189,18.2,7.5532,0.7094,0.7879,True,17.3333,21.2121,85.0,1.0,36.39,0.1471,Tier 4｜暂缓推进,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Bikita
30,Manono,Manono,AVZ Minerals / Others,Democratic Republic of Congo,spodumene,Developing,0.0,0.0,10.0,10.0438,12.0023,10.0438,1.9585,0.195,0.0437,1.9585,18.2,6.1977,0.5164,0.8485,True,0.0,15.1515,85.0,0.98,31.1,0.1176,Tier 4｜暂缓推进,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Manono
31,Arcadia,Arcadia,Huayou Cobalt,Zimbabwe,spodumene,Operating,45000.0,9000.0,9.0,10.3953,12.8278,10.3953,2.4325,0.234,1.3953,2.4325,18.2,5.3722,0.4188,0.9545,True,3.0,4.5455,85.0,1.0,27.69,0.0882,Tier 4｜暂缓推进,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Arcadia
32,Zulu Lithium,Zulu Lithium,Premier African Minerals,Zimbabwe,spodumene,Developing,30000.0,6000.0,9.0,10.3953,12.8278,10.3953,2.4325,0.234,1.3953,2.4325,18.2,5.3722,0.4188,0.9545,True,2.0,4.5455,85.0,1.0,27.49,0.0588,Tier 4｜暂缓推进,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Zulu Lithium
33,Thacker Pass,Thacker Pass,Lithium Americas,United States,clay,Developing,0.0,0.0,11.0,12.1529,14.5228,12.1529,2.3698,0.195,1.1529,2.3698,18.2,3.6772,0.2532,1.0,True,0.0,0.0,70.0,1.0,21.0,0.0294,Tier 4｜暂缓推进,本地选矿 + 初级冶炼合资,战略AISC低于当前LCE价格，具备价格安全垫。 存在政策/战略风险溢价，需重点跟踪资源国政策、审批和本地加工要求。,政策风险已进入战略AISC，关注出口限制、本地加工、审批、税费或环保约束。,Thacker Pass
